First name,Last name,Preferred title,Overview,Position,Department,Individual
Scott,Crawford,Instructional Associate Professor,,Instructional Associate Professor,Statistics,https://scholars.library.tamu.edu/vivo/display/na139d84e
K. Yeon,Choi,Associate Professor,My research includes studying the cellular immune response of target leukocytes to cytomegalovirus infection in the fetal-placental unit and also the mechanism of CMV deafness of the developing fetus in utero. I also have a long term interest in the relationship of cancer to viral infections and will investigate the potential link of CMV and other herpesviruses to specific types of cancer.,Research Associate Professor,School of Medicine,https://scholars.library.tamu.edu/vivo/display/na1a7ebc0
Oral,Capps,Executive Professor,"Dr. Capps is a demand and price analyst, with particular expertise in econometric modeling and forecasting methods.  Applied research areas include analyses of expenditure patterns of pre-prepared foods and foods eaten away from home, analyses of health and nutrition issues, and uses of scanner-derived information for managerial decision-making. In addition, he specializes in unilateral price effects of mergers and acquisitions as well as evaluations of agricultural checkoff programs.",Executive Professor,Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/na2ff7d9f
Chavela,Carr,Lecturer,,Lecturer,Biochemistry and Biophysics,https://scholars.library.tamu.edu/vivo/display/na40e43dd
Audrey,Cook,Professor,,Professor,School of Veterinary Medicine and Biomedical Sciences,https://scholars.library.tamu.edu/vivo/display/na4e01789
Robert,Carpenter,Clinical Associate Professor,,Clinical Associate Professor,Neuroscience and Experimental Therapeutics,https://scholars.library.tamu.edu/vivo/display/na502b590
Piers,Chapman,Professor,"My research interests include:<br /><br />(a)	Marine chemistry - nutrient cycling in coastal areas, and their use as tracers as a means of identifying large-scale oceanic circulation patterns; the marine iodine cycle.<br /><br />(b)	The physics and chemistry of upwelling areas.<br /><br />(c)	Low oxygen regimes in the ocean.<br /><br />(d)	Marine pollution - oil pollution control methods, particularly dispersant usage.",Professor,Oceanography,https://scholars.library.tamu.edu/vivo/display/na59307e9
Abhishek,Chakrabortty,Assistant Professor,Semi-supervised learning; High dimensional statistics; Semi-parametric inference; Causal inference and missing data; Biomedical applications.,Assistant Professor,Statistics,https://scholars.library.tamu.edu/vivo/display/na7196269
Christine,Chu,Clinical Assistant Professor,,Clinical Assistant Professor,Department of Comprehensive Dentistry||Comprehensive Dentistry,https://scholars.library.tamu.edu/vivo/display/na7914641
Ping,Chang,Professor,"Chang's expertise is on climate dynamics and climate prediction, as well as global and regional climate modeling. He leads a research group in global and regional climate modeling studies at Texas A&M and has developed research collaborations with many institutions in the US and other countries. Chang's research involves the understanding of climate variability and predictability, including El Ni?o-Southern Oscillation (ENSO), Tropical Atlantic Variability (TAV) and Atlantic Multidecadal Variability (AMV). He co-chaired the International CLIVAR Atlantic Research Panel (http://www.clivar.org/clivar-panels/atlantic) and was a contributing author to three chapters in the Fifth Assessment Report (AR5) of the Intergovernmental Panel on Climate Change (IPCC).",Professor,Oceanography,https://scholars.library.tamu.edu/vivo/display/na90924e6
William,Connor,Lecturer,,Lecturer,Performance Studies,https://scholars.library.tamu.edu/vivo/display/naa8d7a5d
Vanessa,Coffelt,Lecturer,,Lecturer,Mathematics,https://scholars.library.tamu.edu/vivo/display/nab6e34df
Heesun,Chang,Assistant Professor,,Assistant Professor,Educational Psychology,https://scholars.library.tamu.edu/vivo/display/nabe2e7b5
Doug,Clayton,Adjunct Professor,,,,https://scholars.library.tamu.edu/vivo/display/nabe707bc
Marcelo,Castier,Adjunct Professor,,Adjunct Professor,Texas A&M University at Qatar,https://scholars.library.tamu.edu/vivo/display/nac630c87
Stephen,Curley,Retired Professor,,Retired Professor,Liberal Studies,https://scholars.library.tamu.edu/vivo/display/nacdf57df
John,Cooper,Associate Professor of the Practice,,Associate Professor of the Practice,Landscape Architecture and Urban Planning,https://scholars.library.tamu.edu/vivo/display/nad387dc8
Maddalena,Cerrato,Assistant Professor,"Maddalena Cerrato is an assistant professor in the Department of International Affairs. She has been at Texas A&M since 2014. Before joining the Bush School of Government and Public Service in 2022, she was a faculty member in the Department of International Studies where she also served as Director of Undergraduate Studies and as Director of the INTS Honors Program. In 2021 she received the LAUNCH Director's Award for Outstanding Service to Honors Program the Wells Fargo Honors Faculty Mentor Award.<br /><br /><br /><br />Cerrato earned a BA and an MA in Philosophy at ""La Sapienza"" University in Rome, and received her PhD in Political and Theoretical Philosophy from the Italian Institute for Humanities (SUM, today part of the Normal School of Pisa) in 2013. She teaches courses on nationalism, globalization and global studies, and cyberspace. Her research is in the field of critical theory, political philosophy, and cyber-criticism. Her current research concerns the use of space and spatial categories in social and political theory, and it addresses the ways in which today ""cyberspace"" and digital technologies challenge such a theoretical framework. She published a scholarly monograph on the practical philosophy of Michel Foucault and many articles on nationalism, topology, community, and infrapolitics.",Assistant Professor,International Affairs,https://scholars.library.tamu.edu/vivo/display/nae3c854a
Scott,Cooner,,,TTI Research Engineer,Arlington Office,https://scholars.library.tamu.edu/vivo/display/naf85f796
Yong,Chen,Associate Professor,My research area is investments with a specialty in hedge funds and mutual funds.,Associate Professor,Finance,https://scholars.library.tamu.edu/vivo/display/nb05549ff
Andreina,Cordido Enriquez,,,Adjunct Assistant Professor,Department of Comprehensive Dentistry||Comprehensive Dentistry,https://scholars.library.tamu.edu/vivo/display/nb1258d6c
Julie,Carroll,Senior Lecturer,,Senior Lecturer,Statistics,https://scholars.library.tamu.edu/vivo/display/nb2e1030e
Dar-Hao,Chen,,,TTI Associate Research Engineer,Flexible Pavements,https://scholars.library.tamu.edu/vivo/display/nb3e7a687
Tamara,Carter,Instructional Associate Professor,,Instructional Associate Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/nb4300e16
Anthony,Cahill,Associate Professor,,Faculty Affiliate||Associate Professor,Civil Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/nb5176834
Jason,Cleere,Associate Professor and Extension Specialist,"Dr. Jason Cleere is associate professor and Texas AgriLife Extension beef cattle specialist, stationed at Texas A&M University in College Station, where he develops and implements Extension educational programs to increase production efficiency and profitability of Texas beef cattle producers. He also serves as coordinator of the Texas A&M Beef Cattle Short Course, which attracts more than 1,400 participants to campus each August. He is also a faculty member of the beef cattle section in the Department of Animal Science.",Associate Professor and Extension Specialist,Animal Science,https://scholars.library.tamu.edu/vivo/display/nb5e7c014
Willa,Chen,Professor,Time Series and Econometrics,Professor,Statistics,https://scholars.library.tamu.edu/vivo/display/nb9741638
Dionquai,Coleman,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/nbe3e907f
Mary,Campbell,Professor,,Director||Professor,Texas Census Research Data Center||Sociology,https://scholars.library.tamu.edu/vivo/display/nbeafb5ab
Pierce,Cantrell,Senior Associate Professor,,Associate Professor,Electrical and Computer Engineering,https://scholars.library.tamu.edu/vivo/display/nbf6595de
Walter,Cook,Clinical Associate Professor,"I am primarily interested in wildlife disease prevention and management. I have done research and management on diseases such as anthrax, brucellosis, and chronic wasting disease. I have also done work with chemical immobilization agents. I am also interested in pharmacokinetics and drug withdrawal of antibiotics and immobilizing agents.",Clinical Associate Professor,Veterinary Pathobiology,https://scholars.library.tamu.edu/vivo/display/nbf8dd39b
Leslie,Cizmas,Instructional Assistant Professor,"My research focuses on the occurrence and toxicity of drinking water contaminants, health effects of complex mixtures, and chemical exposure assessment in underserved communities.",Assistant Professor,Environmental and Occupational Health,https://scholars.library.tamu.edu/vivo/display/nbfad6806
Iftekharudd,Choudhury,Associate Professor Emeritus,FIELD OF RESEARCH	1.	Social and cultural aspects of design and construction of built environment on a global basis with an emphasis on the use of appropriate technology.,Associate Professor Emeritus||Associate Professor,Construction Science||Construction Science,https://scholars.library.tamu.edu/vivo/display/nc0b66373
Yoonsuck,Choe,Professor,,Professor - Term Appointment,Computer Science and Engineering,https://scholars.library.tamu.edu/vivo/display/nc0edb3ea
Robert,Capraro,Professor,"Robert M. Capraro, is Co-Director of Aggie STEM, and Professor Mathematics Education in the Department of Teaching Learning and Culture at Texas A&M University. Dr. Capraro's expertise is applied research in school settings, program evaluation, the teacher as change agent for STEM school improvement, and STEM student achievement. He recently received the best paper award from the International Conference on Engineering Education where he and two colleagues presented their work related to Aggie STEM. He is currently involved in research in four school districts with more than 350,000 students and 150 teachers. His editorial work includes Associate Editor of the American Educational Research Journal, School Science and Mathematics, and Middle Grades Research Journal and the Research Advisory Committee for the Association of Middle Level Education, editorial board for the Journal for Research Mathematics Education and he is the current editor of the Journal for Urban Mathematics Education. He was selected as a minority scholar for 2007 by the Educational Testing Service and served as president of the Southwest Educational Research Association. He is the author or co-author of six books, several book chapters and more than 130 research articles. Along with 5 colleagues he was recently awarded a 12-million-dollar grant from Institute of Education Sciences bringing his total external funding to ~30 million. He has worked extensively and been funded to investigate pre-college readiness, high school STEM success, and college mathematics readiness and been external evaluator on ~14 million dollars dealing with teacher readiness to teach mathematics,  college readiness of language minority students, and community college student STEM success. He has been a member of AERA for 21 years including three years as a doctoral student and held several leadership positions.",Member||Co-Project Director||Faculty Affiliate||Professor,"Engineering Education Research Taskforce||Teaching, Learning and Culture||Aggie STEM||Institute for Engineering Education and Innovation",https://scholars.library.tamu.edu/vivo/display/nc0f341af
John,Casellas Connors,Assistant Professor,,Assistant Professor,Geography,https://scholars.library.tamu.edu/vivo/display/nc2cac7d8
Diane,Chico,Instructional Professor,"My primary interests are in medical education.I serve as teaching faculty in gross anatomy, histology, and neuroscience in the first year curriculum of the College of Medicine. My current scholarly pursuits explore the design, implementation, and evaluation of instructional models that emphasize knowledge application/synthesis and self-directed student learning. My research focuses on measuring whether student learning and knowledge retention of basic sciences improve with the use of these instructional modalities. My past research included structure-function studies of peptide-delivery vehicles and the mechanisms of posttranslational modifications on protein function.",Department Head||Instructional Professor,Medical Education||Neuroscience and Experimental Therapeutics,https://scholars.library.tamu.edu/vivo/display/nc68c8f85
James,Cleary,Associate Professor of the Practice,,Associate Professor of the Practice,Maritime Transportation,https://scholars.library.tamu.edu/vivo/display/nc6b2e8ad
Zhilei,Chen,Associate Professor,"The Chen Medicinal Protein Lab aims to accelerate the discovery, development and clinical translation of protein therapeutics through innovative protein engineering research.  We believe that better medicine enables a higher quality of living, and protein engineers are charged to create the better medicine for today and tomorrow. We are particularly interested in the creation and engineering of affordable protein therapeutics to prevent and treat infectious diseases and cancer.",Associate Professor,Microbial Pathogenesis and Immunology,https://scholars.library.tamu.edu/vivo/display/nc9a6c3ae
Charity,Cavazos,Instructional Assistant Professor,,Instructional Assistant Professor,Veterinary Physiology and Pharmacology,https://scholars.library.tamu.edu/vivo/display/ncacd2859
Wanda,Curtsinger,Lecturer,,Lecturer,Information and Operations Management,https://scholars.library.tamu.edu/vivo/display/ncc866a67
Christopher,Curran,Associate Professor of the Practice,,Associate Professor of the Practice,Multidisciplinary Engineering,https://scholars.library.tamu.edu/vivo/display/ncd4a7b73
Thomas,Comstock,Senior Lecturer,,Senior Lecturer,Engineering Technology and Industrial Distribution,https://scholars.library.tamu.edu/vivo/display/ncd7f1956
Esther,Carrigan,Professor,,Professor,University Libraries,https://scholars.library.tamu.edu/vivo/display/ncefaa138
Kelli,Campbell,Instructional Assistant Professor,,Instructional Assistant Professor,Kinesiology and Sport Management,https://scholars.library.tamu.edu/vivo/display/ncf133367
Elissa,Carmona,Senior Lecturer,,Senior Lecturer,College of Engineering,https://scholars.library.tamu.edu/vivo/display/ncf8e8bce
Jae,Cho,Assistant Professor,"Our research interests lie in the interface between biology and other areas of science (chemistry and physics). NMR is our primary tool for structural and biophysical analysis. We also extensively use other techniques including Circular Dichroism and Fluorescence spectroscopy, and Isothermal calorimetry. These biophysical analyses are corroborated by sophisticated engineering and tuning of target proteins using semi-synthetic chemical biology techniques, in addition to traditional molecular biology methods.",Assistant Professor,Biochemistry and Biophysics,https://scholars.library.tamu.edu/vivo/display/ncfe16216
Jun,Cho,"Clinical Associate Professor, Periodontics",,Clinical Associate Professor,Periodontics,https://scholars.library.tamu.edu/vivo/display/nd0506833
Kalena,Cortes,Associate Professor,"Dr. Cortes' research interests are in the areas of the Economics of Education, Labor Economics, and Economic Demography. Her research focuses on issues of equity and access, in particular, identifying educational policies that help disadvantaged students at the PK-12 and post-secondary levels. She has worked on three key areas: improving academic performance of urban students, increasing access to post-secondary education, and raising educational attainment of immigrant students.",Associate Professor,Public Service and Administration,https://scholars.library.tamu.edu/vivo/display/nd10b9b7f
Michael,Clough,Professor,"Dr. Clough's scholarship focuses on the history and nature of science and its implications for science teaching and learning. His publications appear in Research in Science Education, Science & Education, International Journal of Science and Mathematics Education, Science Education, Journal of Science Teacher Education, Journal of Research in Science Teaching, and science teaching practitioner journals. He is a former president of the International History, Philosophy and Science Teaching (IHPST) organization, served as an Associate Editor of the Journal for Research in Science Teaching, and currently serves on the editorial board member for the journal Science & Education and as Editor for the Springer book series Science: Philosophy, History and Education. He is the principal investigator of a National Science Foundation funded project (https://storybehindthescience.org/) that has created short historical science stories for post-secondary introductory science courses.  These efforts reflect his desire to help science teachers at all levels understand the nature of science and its significant implications for science teaching and learning, and informed decision-making.",Professor,"Teaching, Learning and Culture",https://scholars.library.tamu.edu/vivo/display/nd3e325c3
Jason,Crawford,TTI Research Engineer,,TTI Research Engineer,Research & Implementation,https://scholars.library.tamu.edu/vivo/display/nd468694a
Rania,Cannaday,Clinical Assistant Professor,,Clinical Assistant Professor,School of Medicine,https://scholars.library.tamu.edu/vivo/display/nd656aa8b
Marco,Castillo,Professor,,Professor,Economics,https://scholars.library.tamu.edu/vivo/display/nd6fdc66e
Leighton,Cooke,Professor,,"Professor, Russian",International Studies,https://scholars.library.tamu.edu/vivo/display/nd86352e2
Rodolfo,Cardoso,Assistant Professor,Dr. Cardoso's research interests focus on understanding the impact of the prenatal and early postnatal environments on reproductive neuroendocrine function in females using sheep and cattle as animal models to benefit both the livestock industry as well as human reproductive health. The Cardoso Lab integrates whole animal physiology with cellular and molecular biology to elucidate the mechanisms by which the perinatal environment can modulate several reproductive processes in the offspring. Dr. Cardoso's teaching interests range from practical reproductive management of livestock to advanced reproductive neuroendocrinology.,Assistant Professor,Animal Science,https://scholars.library.tamu.edu/vivo/display/nd8c042ef
Bahar,Cavdar,Assistant Professor,,Assistant Professor,Engineering Technology and Industrial Distribution,https://scholars.library.tamu.edu/vivo/display/nd91cb5a1
Susan,Carpender,Director,,Director,School of Public Health,https://scholars.library.tamu.edu/vivo/display/nda020ca9
Divine Livingstone,Caesar,Assistant Professor,Application of Big Data Analytics in Supply Chain and Maritime Trade Environments<br /><br />Human Capital/HR Issues in the Maritime Sector e.g. application of Industry 4.0<br /><br />Risk Mitigation and Building Resilience e.g. Building Organizational Capabilities for disruptions<br /><br />Sustainability e.g. Green Applications in Supply Chains,Assistant Professor,Maritime Business Admininstration,https://scholars.library.tamu.edu/vivo/display/nda95f21b
Shawn,Chiang,Assistant Professor,"Dr. Shawn Chiang is a social behavioral scientist focusing on reducing health disparity in cancer control related health behaviors through translational digital health & communication science. Dr. Chiang utilizes both quantitative and qualitative research designs, and employs a variety of analysis methods to answer research questions. He views the digital media environment as a social determinant of health and engage with community members to understand their barriers, and design culturally responsive behavioral and communication interventions so they can attain the opportunity to be as healthy as possible.<br /><br />To date, the primary aims of his research are 1) to enhance the understanding of the individual, interpersonal, and social determinants of health that can contribute to behavioral change, particularly related to cancer prevention, 2) to understand opportunities and challenges for using new communication technologies for health behaviors, and 3) to develop and evaluate novel, theoretically-grounded methods and products that make use of communication technologies.",Assistant Professor,Health Promotion and Community Health Sciences,https://scholars.library.tamu.edu/vivo/display/ndae83d99
Jill,Crouch,Assistant Lecturer,,Assistant Lecturer,Health Policy and Management,https://scholars.library.tamu.edu/vivo/display/ndb53f72d
Steven,Conway,Senior Lecturer,,Senior Lecturer,Maritime Administration,https://scholars.library.tamu.edu/vivo/display/ndb9f12b3
William,Crockford,TTI Research Engineer,,TTI Research Engineer,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/ndbfedc7b
Tatyana,Chubaryan,Clinical Associate Professor,,Clinical Associate Professor,University Libraries,https://scholars.library.tamu.edu/vivo/display/nde1f2aed
H Russell,Cross,Professor,,Professor,Animal Science,https://scholars.library.tamu.edu/vivo/display/ne46d81c7
Andrew,Conkey,Instructional Associate Professor,,Instructional Associate Professor||Faculty Affiliate,College of Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/ne63413cc
Alejandro,Castillo,Associate Professor,"Dr. Castillo's research interests include the development of control measures for minimizing and reducing pathogens in fresh and fresh-cut food products, the bacterial reduction on beef and pork products and fresh produce by sanitizing rinses and the use of electron beam irradiation for food safety purposes. He has published numerous articles in peer-reviewed journals, has authored or co-authored six book chapters and has published two books as editor. He teaches the graduate course in Microbiology of Foods and co-teaches the HACCP stacked course.",Associate Professor||Associate Professor,Animal Science||Nutrition,https://scholars.library.tamu.edu/vivo/display/ne6e976cb
Sanjukta,Chakraborty,Assistant Professor,"Tumor cell metastasis to the regional or draining lymph nodes (LN) is the primary indicator of tumor aggressiveness. Tumor cells lodged in nodes acquire significant vulnerabilities that enable them to evade therapy. In addition, expansion of the vasculature near the primary tumor bed activates multiple pathways that induce lymphangiogenesis and angiogenesis. The primary research focus of my laboratory is to determine how an inflammatory tumor-lymphatic microenvironment contributes to cancer metastasis and progression by reprograming molecular pathways in a) primary tumor niche and b) metastatic tumor draining LNs. We use tumor-LEC 3D spheroids, orthotopic tumor models and clinical samples to evaluate the tumor-lymphatic crosstalk in different solid tumors. In addition, we are also interested in delineating the role of the microbiota and specific tryptophan metabolites in cancer progression, tumor associated lymphangiogenesis and alterations to the metastatic node.",Assistant Professor,Medical Physiology,https://scholars.library.tamu.edu/vivo/display/ne7dd93d7
Katherine,Cammarata,Adjunct Assistant Professor,,Adjunct Assistant Professor,Educational Administration and Human Resource Development,https://scholars.library.tamu.edu/vivo/display/ne808422a
Dorothy,Carmichael,Research Scientist,"For almost thirty years Dr. Carmichael has independently developed and implemented over 20 major studies for more than a dozen state and federal agencies. Her work focusing primarily on the criminal and juvenile justice systems has been recognized for its quality, and has influenced policymaking in Texas and nationally.",Research Scientist,Public Policy Research Institute,https://scholars.library.tamu.edu/vivo/display/ne8730207
Emily,Cantrell,Clinical Associate Professor,,Clinical Associate Professor,"Teaching, Learning and Culture",https://scholars.library.tamu.edu/vivo/display/ne8772285
Jeffrey,Cirillo,Professor,"Our laboratory is interested in the pathogenesis of bacterial lung infections particularly tuberculosis and Legionnaires' disease. We are examining the virulence mechanisms of bacteria using cellular, molecular and genetic techniques. Our primary research goal is to obtain a better understanding of the roles of the pathogen and host in disease. These studies should contribute to our understanding of host-pathogen interactions at the molecular and cellular level that can be used for prevention, treatment and diagnosis. We hope that through a better understanding of the mechanisms by which these organisms cause disease we can prevent some, if not all, of these infections in the future.",Professor||Director,Microbial Pathogenesis and Immunology||Center for Airborne Pathogen Research and Tuberculosis Imaging,https://scholars.library.tamu.edu/vivo/display/ne8bc1122
Sabrina,Carletti,Instructional Assistant Professor,,Instructional Assistant Professor,Visualization,https://scholars.library.tamu.edu/vivo/display/ne975d576
David,Caldwell,Professor and Head,,Professor||Professor and Head,"Poultry Science||Rangeland, Wildlife and Fisheries Management||Wildlife and Fisheries Sciences",https://scholars.library.tamu.edu/vivo/display/nea632206
Jenn Hwan,Chen,Clinical Assistant Professor,,Clinical Assistant Professor,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/nea8c553d
Claire,Carly-Miles,Lecturer,,Lecturer,English,https://scholars.library.tamu.edu/vivo/display/neaa223b1
Thomas,Cecil,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/nec070585
Kenneth,Casey,Associate Professor,,Associate Professor,Amarillo Research and Extension Center,https://scholars.library.tamu.edu/vivo/display/ned179bee
Scott,Cummings,Professor and Extension Specialist,"My research is focused on program development and evaluation, including an emphasis on behavioral change and<br /><br />impacts. Specifically, this work includes relevant models of program development including logic models, and<br /><br />various strategies of evaluation and interpretation efforts. Additional research focus includes work in strategic<br /><br />planning and proposal writing. International work includes projects in Indonesia and Iraq.",Professor and Extension Specialist,"Agricultural Leadership, Education, and Communications",https://scholars.library.tamu.edu/vivo/display/ned2348c8
James,Caverlee,Professor - Term Appoint,"My research is generally in the areas of web-scale information management, distributed data-intensive<br /><br />systems, and social computing. Fundamentally, my overall research goal is to develop algorithms and<br /><br />systems to enable efficient and trustworthy information sharing and knowledge discovery over dynamic,<br /><br />heterogeneous, and massive-scale networked information systems.",Professor - Term Appoint,Computer Science and Engineering,https://scholars.library.tamu.edu/vivo/display/ned50213b
Laurie,Charles,Clinical Assistant Professor,,Clinical Assistant Professor,School of Nursing,https://scholars.library.tamu.edu/vivo/display/nedd904de
Charles,Coleman,Instructional Assistant Professor,,Instructional Assistant Professor,Marine Sciences,https://scholars.library.tamu.edu/vivo/display/nf08a481e
Livia,Catao Cartaxo Loureiro,Lecturer,,Lecturer,Architecture,https://scholars.library.tamu.edu/vivo/display/nf1424aff
Jean-Francois,Chamberland-Tremblay,Professor,"Dr. Jean-Francois Chamberland conducts research in information theory, statistical signal processing, probability, and in their applications to communication and control systems. His current research focuses on statistical problems in the context of wireless communications, networks, autonomous vehicles, and learning. He is also interested in the topics of vector space methods and optimization with possible applications to classification, biological systems, and societal challenges. Furthermore, he seeks to develop algorithms, techniques, and paradigms that permit the analysis and the design of complex systems.",Professor||Faculty Affiliate,Electrical and Computer Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/nf1b8671d
Noah,Cohen,Distinguished Professor and Associate Department Head,,Distinguished Professor and Associate Department Head,Large Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/nf22c59c1
David,Cairns,Professor and Head,"Ecosystem Modeling, Landscape Ecology, Biogeography, GIS applications for environmental modeling, and Physical Geography",Professor and Head,Geography,https://scholars.library.tamu.edu/vivo/display/nf3776f98
Charles,Conrad,Professor,,Professor,Department of Communication & Journalism,https://scholars.library.tamu.edu/vivo/display/nf3c721b7
Kate,Creevy,Professor,"Dr. Creevy is a board-certified small animal veterinary internist, with a primary research interest in longevity, healthspan, morbidity and mortality within and among dog breeds as well as secondary research interests in infectious disease, and pedagogical theory in science education. In 2007, she established a productive collaboration with Dr. Daniel Promislow, combining her expertise in veterinary research and clinical practice with his expertise in genetics, aging and statistical analysis. Initially, their work was focused on the analysis of existing veterinary medical datasets. With the addition of Dr. Matt Kaeberlein, in 2014, the trio founded the Dog Aging Project and began to create a community of dog owners interested in becoming involved in this citizen-science project. The Dog Aging Project's current longitudinal study ambitious undertaking is the largest prospective study of companion dogs ever performed, enrolling 10,000 dogs across the nation who will be followed for ten years.",Professor,Small Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/nf40f2eea
Zhaohui,Chi,Lecturer,,Lecturer,Geography,https://scholars.library.tamu.edu/vivo/display/nf56b8027
Heng,Cai,,"Dr. Cai's research primarily focus on the application of geographic information science and technology (GIST) in disaster resilience and coupled natural-human system modeling. She has worked for a number of research projects funded by National science foundation, Louisiana sea grant, and Coastal protection and restoration authority. Her work employs a diverse spatial analysis tools and data mining methods to evaluate the community resilience to natural hazards, model the interactions between the human and natural systems, and simulate population and land cover changes under certain scenarios.",Assistant Professor,The Texas A&M University System,https://scholars.library.tamu.edu/vivo/display/nf5f26340
Kevin,Crisman,Professor,"My research focuses on:  Nautical archaeology of the Early Modern era (15th to 20th Centuries); construction and outfitting of ships; seafaring, shipboard life, and maritime communities; North American river, lake, and canal navigation; 19th century steamboats and ship propulsion technology; Warships and naval technology, 1450-1950; War of 1812 naval design and construction.",Professor,Anthropology,https://scholars.library.tamu.edu/vivo/display/nf62156ef
Jiang,Chang,Professor,"Heart failure (impaired ventricular pump function) is an eventual outcome for diverse cardiovascular disorders and the leading cause of combined morbidity and mortality in the United States and other developed industrial nations. The focus of my lab is to understand the molecular and cellular mechanisms that initiate and mediate the pathogenesis of maladaptive cardiac remodeling, such as cardiac hypertrophy and fibrosis as result of various pathological scenarios such as myocardial infarction, hypertension, obesity, diabetes, aging and post-traumatic stress disorder. The overall approach consists of generation and analysis of clinically-relevant genetic mouse models including a tool mouse enabling tracking endogenous cardiac exosomes, and conduct mechanistic studies using cutting-edge technology. The ultimate goal of our efforts is to provide clinical translation for the prevention and treatment of pathological cardiac remodeling from our mechanistic studies.",Professor,Center for Genomic and Precision Medicine,https://scholars.library.tamu.edu/vivo/display/nf80a9dad
J. Richard,Conner,Senior Professor,Dr. Conner's research emphasizes the integration of economics with ecology in the management of grazinglands and related resources. His work has dealt with such issues as how to select the optimal combination of wildlife/ livestock enterprises while considering both biological diversity and relative levels and variation in enterprise costs and prices. Much of his work has been directed toward the development of analytical methodologies which facilitate incorporating the impacts of variation inherent to range- related enterprises into management decisions. Dr. Conner also participates in an interdisciplinary team dedicated to the development of computerized decision support systems (DSS) for use by grazingland resource managers. The DSS are designed to assist resource managers in both strategic and tactical planning and provide a means of appropriately accounting for both economic and ecologic consequences of alternative management practices.,Senior Professor,Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/nf83efa4d
Heidi,Campbell,Professor,"Heidi A Campbell is Professor of Communication and affiliate faculty in Religious Studies and a Presidential Impact Fellow at Texas A&M University. She teaches undergrad and graduate course in digital media, religious studies and communication. She is also director of the Network for New Media, Religion and Digital Culture Studies, and a recognized as one of the founder of Digital Religion studies, a new subfield of study that explores how religious beliefs and practices are performed online and offline within digital culture.",Professor,Department of Communication & Journalism,https://scholars.library.tamu.edu/vivo/display/nf86f2a97
Karen,Cornell,Associate Dean,"I am  a soft tissue surgeon with a primary interest in communication skills training for veterinary professionals, teaching methodologies and reconstructive surgery.",Associate Dean,School of Veterinary Medicine and Biomedical Sciences,https://scholars.library.tamu.edu/vivo/display/nf8b16ffc
Thomas,Chappell,Assistant Professor,,Assistant Professor,Plant Pathology and Microbiology,https://scholars.library.tamu.edu/vivo/display/nf900c0d0
Kristin,Chaney,Clinical Assistant Professor,"Dr. Chaney received her DVM degree from Colorado State University and joined the TAMU College of Veterinary Medicine & Biomedical Sciences in September 2014 as a clinical assistant professor.  She shares an appointment between the Veterinary Integrative Biosciences department and the administrative Professional Programs Office.  This unique position requires interactions across many different college departments and program-years of the veterinary curriculum in the areas of teaching, academic service, and scholarship.  Dr. Chaney is board certified by both the American College of Veterinary Internal Medicine and the American College of Veterinary Emergency & Critical Care and uses this extensive post-graduate training in the development of creative and innovative learning opportunities for veterinary students in the pre-clinical DVM curriculum.  From her publications in curriculum redesign, she is considered an expert and consults with veterinary programs across the U.S. regarding this process.  She co-chairs the AAVMC Council for Outcomes-based Veterinary Education which developed an unprecedented framework for Competency-based Veterinary Education and published in the veterinary and medical education literature.  Dr. Chaney's passion for teaching and learning is demonstrated through her scholarship and the awards received for her educational work at the college and university levels.",Clinical Assistant Professor,Veterinary Integrative Biosciences,https://scholars.library.tamu.edu/vivo/display/nf961bb51
Hatice,Ceylan Koydemir,Assistant Professor,,Assistant Professor,Biomedical Engineering,https://scholars.library.tamu.edu/vivo/display/nfa4d71de
Jonathan,Coopersmith,Professor,,Professor||Faculty Affiliate,History||Energy Institute,https://scholars.library.tamu.edu/vivo/display/nfaa5fd66
